Manager ID,Manager Name
442,MICROSEC CAPITAL LIMITED
443,MICROSEC WEALTH MANAGEMENT LIMITED 
444,MIDEAST PORTFOLIO  MANAGEMENT LTD.
445,MIDEAST PORTFOLIO MANAGEMENT LTD
446,MILESTONE CAPITAL ADVISORS PRIVATE LIMITED
447,MILI CAPITAL MANAGEMENT PVT. LTD.
448,MILLENNIUM FINANCE LTD.
449,Milton Finance Ltd
450,Mittal Analytics Private Limited
451,MIV INVESTMENT SERVICES PVT. LTD.
452,MOAT FINANCIAL SERVICES PRIVATE LIMITED
453,MODERN SHARES AND STOCK BROKERS LTD
454,Monarch Networth Capital Limited
455,MONEYBEE SECURITIES PRIVATE LIMITED
456,MONEYCARE FINANZ PVT.LTD
457,MONEYCARE SECURITIES & FINANCIAL SERVICE LTD
458,MONEYCARE SECURITIES AND FINANCIAL SERVICES LTD
459,Moneylife Advisory Services Pvt Ltd
460,MOPE INVESTMENT ADVISORS PRIVATE LIMITED
461,MORGAN STANLEY INDIA FINANCIAL SERVICES PRIVATE LIMITED
462,MORNINGSTAR INVESTMENT ADVISER INDIA PRIVATE LIMITED
463,MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED
464,Motilal Oswal Capital Limited
465,Motilal Oswal Financial Services Limited
466,MOTILAL OSWAL WEALTH MANAGEMENT LIMITED
467,MRG INVESTMENT PARTNERS PRIVATE LIMITED
468,Mukesh Babu Financial Services Ltd.
469,MULTI-ACT EQUITY CONSULTANCY PVT LTD
470,MUNOTH FINANCIAL SERVICES LTD
471,Muthoot Securities Limited
472,NALANDA SECURITIES PVT. LTD.
473,NARNOLIA FINANCIAL ADVISORS LTD
474,Narnolia Securities Ltd.
475,NARNOLIA VELOX ADVISORY LIMITED
476,NEGEN CAPITAL SERVICES PRIVATE LIMITED
477,Neminath Portfolio Management Services Private Limited
478,Networth Finance Ltd
479,NETWORTH STOCK BROKING LTD
480,NEW BERRY CAPITALS PVT. LTD.
481,NEW HORIZON WEALTH MANAGEMENT PRIVATE LIMITED
482,NINE RIVERS CAPITAL HOLDINGS PRIVATE LIMITED
483,NIPRA FINANCIAL SERVICES PRIVATE LIMITED
484,NIPUN INVESTMENTS MANAGERS  PVT LIMITED
485,NIRMAL BANG SECURITIES PRIVATE LIMITED
486,NJ ADVISORY SERVICES PRIVATE LIMITED
487,Novastar Fund Advisors Private Limited
488,NUCLEUS SECURITIES LTD
489,O3 SECURITIES PRIVATE LIMITED
490,OAKLANE CAPITAL MANAGEMENT LLP
491,OCEAN DIAL ASSET MANAGEMENT INDIA PRIVATE LIMITED
492,OHM PORTFOLIO EQUI RESEARCH PVT LTD.
493,OLD BRIDGE CAPITAL MANAGEMENT PVT. LTD.
494,ONE THIRTY CAPITAL PRIVATE LIMITED
495,Onelife Capital Advisors Pvt Ltd.
496,ORBIS FINANCIAL SERVICES PVT. LTD.
497,ORO ASSET MANAGEMENT PRIVATE LIMITED
498,Oxford International Finance (I) Ltd.
499,OXUS INVESTMENTS PVT LTD
500,P N VIJAY FINANCIAL SERVICES PVT LTD
501,P.C.S SECURITIES LIMITED
502,PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED
503,PACE STOCK BROKING SERVICES PVT LTD
504,PADMAKSHI FINANCIAL SERVICES LIMITED
505,Padmakshi Financial Services Pvt Ltd
506,PALSMITH INVESTMENT ADVISORY SERVICES PV
507,Pantomath Fund Managers Private Limited
508,PARAG PARIKH FINANCIAL ADVISORY SERVICE
509,PARAG PARIKH FINANCIAL ADVISORY SERVICES
510,PARSOLI CAPITAL & FINANCE LTD
511,PATCO INVESTMENTS AND CONSULTANCY SERVICES LTD
512,Paterson Securities Limited
513,PATERSON SECURITIES PRIVATE LTD
514,PEERLESS SECURITIES LIMITED
515,Pelican Holdings Private Limited
516,PENBROOK INVESTMENT MANAGER LLP
517,PENINSULAR CAPITAL MARKET LTD.
518,PGIM India Asset Management Private Limited
519,PHILLIPCAPITAL (INDIA) PRIVATE LIMITED
520,Photon Capital Advisors Ltd.
521,PIONEER INTERMEDIARIES PVT. LTD.
522,PIONEER INVESTCORP LIMITED
523,PIONEER WEALTH MANAGEMENT SERVICES LIMITED
524,Pioneer Wealth Management Services Limited
525,Pipal Capital Management Pvt. Ltd.
526,Piper Serica Advisors Private Limited 
527,Piramal Financial Services Limited
528,Piramal Fund Management Private Limited
529,PL Fund Advisors Pvt Ltd
530,Platinum Finance Limited
531,PNB Gilts Ltd.
532,PNR Capital Services Ltd
533,Popular Stock And Share Ser Ltd
534,PRABHUDAS LILLADHER PRIVATE LTD
535,PRABHUDAS LILLADHER PVT. LTD.
536,PRABODH ARTHA SANCHAY PVT LTD
537,PRAKALA WEALTH MANAGEMENT PRIVATE LIMITED
538,Pressman Ltd.
539,PRIME BROKING COMPANY (INDIA) LTD.
540,Primus Investment Advisors Private Limited
541,PRINCIPAL ASSET MANAGEMENT PVT LTD
542,PRITHVI FINMART PRIVATE LIMITED
543,PropShare Capital Advisors Private Limited
544,Prudential Capital Markets Ltd.
545,PSSG CAPITAL MANAGEMENT PRIVATE LIMITED
546,PUG SECURITIES PVT LTD
547,PUNEET ADVISORY SERVICES PVT. LTD.
548,Puneet Advisory Services Pvt. Ltd.
549,Purnartha Investment Advisers Pvt.Ltd.
550,QED CAPITAL ADVISORS LLP
551,QRC INVESTMENT ADVISORS LLP 
552,Quant Capital Advisors Private Limited
553,QUANT PORTFOLIO MANAGERS PRIVATE LIMITED
554,QUANTUM ADVISORS PVT.LTD.
555,QUANTUM SECURITIES PVT LTD
556,QUANTUM SECURITIES PVT.LTD
557,QUEST INVESTMENT ADVISORS PVT. LTD.
558,R. K. STOCKHOLDING PVT. LTD.
559,R. WADIWALA SECURITIES PRIVATE LIMITED
560,RADAR SEC LTD
561,RAJAN EQUITY ADVISORY PRIVATE LIMITED
562,RAJNISH GARG INVESTMENT ADVISORS LLP
563,Ratnabali Capital Markets Limited
564,RELIANCE CAPITAL ASSET MANAGEMENT LTD
565,RELIANCE WEALTH MANAGEMENT LIMITED
566,Relic Finance Ltd.
567,Religare Invesco Asset Management Company Pvt Ltd.
568,Religare Portfolio Managers and Advisors Private Limited
569,RENAISSANCE INVESTMENT MANAGERS PRIVATE LIMITED
570,REVELATION PORTFOLIO MANAGEMENT PVT. LTD.
571,RGAM CORPORATION PVT LTD
572,RIGHT HORIZONS PORTFOLIO MANAGEMENT PRIVATE LIMITED
573,RISHABH STOCK BROKING SERVICES P. LTD.
574,ROHA ASSET MANAGERS LLP
575,ROULAC INDIA INVESTMENT ADVISORY PRIVATE LIMITED
576,ROWAN CAPITAL ADVISORS LLP
577,SAFFRON GLOBAL MARKETS PRIVATE LIMITED
578,SAGEONE INVESTMENT ADVISORS LLP
579,Sageone Investment Advisors LLP
