,Weight,Open_x,Open_y,Returns,Buy Date,Sell Date
1470,0.05,782.9,810.0,0.0017307446672627429,1549,1639
1507,0.05,480.3,485.2,0.0005100978555069725,1549,1639
1551,0.05,455.0,510.1,0.006054945054945058,1549,1639
1615,0.05,167.5,212.45,0.013417910447761191,1549,1639
1615,0.05,167.5,212.45,0.013417910447761191,1549,1639
1622,0.05,267.0,238.2,-0.0053932584269662945,1549,1639
1670,0.05,88.0,83.15,-0.002755681818181815,1549,1639
2761,0.05,204.98000000000002,212.5,0.0018343253000292666,1549,1639
1124,0.05,2821.95,2750.1,-0.0012730558656248324,1640,1729
369,0.05,185.95,262.05,0.020462489916644268,1640,1729
426,0.05,112.5,113.5,0.00044444444444444447,1640,1729
326,0.05,423.5,562.9,0.016458087367178274,1640,1729
1999,0.05,140.0,148.3,0.0029642857142857183,1640,1729
613,0.05,1080.0,1235.35,0.007192129629629626,1640,1729
1654,0.05,445.45,517.15,0.008048041306543944,1640,1729
18,0.05,132.3,121.9,-0.003930461073318218,1640,1729
1180,0.05,245.95,266.0,0.004076031713762963,1640,1729
965,0.05,209.42222222222222,224.66666666666666,0.0036396434634974524,1640,1729
1615,0.05,203.5,258.425,0.013495085995085998,1640,1729
998,0.05,974.85,799.5,-0.00899369133712879,1640,1729
393,0.05,885.0,1017.05,0.007460451977401128,1640,1729
495,0.05,624.0,593.0,-0.0024839743589743593,1640,1729
1577,0.05,534.5,641.0,0.009962581852198317,1640,1729
983,0.05,436.0,488.2,0.005986238532110091,1640,1729
343,0.05,185.4,172.5,-0.0034789644012945,1640,1729
283,0.05,415.0,438.9,0.002879518072289154,1640,1729
147,0.05,1341.0,1859.95,0.019349366144668163,1640,1729
1198,0.05,899.9,820.05,-0.0044366040671185705,1640,1729
144,0.05,5220.0,5431.9,0.002029693486590035,1731,1821
147,0.05,1859.0,1784.7,-0.001998386229155459,1731,1821
167,0.05,696.0,750.0,0.0038793103448275866,1731,1821
326,0.05,559.0,593.6,0.003094812164579609,1731,1821
369,0.05,283.0,294.0,0.0019434628975265019,1731,1821
523,0.05,260.0,250.75,-0.0017788461538461539,1731,1821
584,0.05,419.8,429.1,0.0011076703191996201,1731,1821
762,0.05,703.0,882.225,0.012747155049786631,1731,1821
